site_no,datetime,discharge_va,discharge_va_cd
8097500,4/29/1939,450,A
8097500,4/30/1939,314,A
8097500,5/1/1939,249,A
8097500,5/2/1939,280,A
8097500,5/3/1939,280,A
8097500,5/4/1939,249,A
8097500,5/5/1939,221,A
8097500,5/6/1939,216,A
8097500,5/7/1939,221,A
8097500,5/8/1939,1600,A
8097500,5/9/1939,1440,A
8097500,5/10/1939,780,A
8097500,5/11/1939,297,A
8097500,5/12/1939,216,A
8097500,5/13/1939,199,A
8097500,5/14/1939,208,A
8097500,5/15/1939,199,A
8097500,5/16/1939,157,A
8097500,5/17/1939,15900,A
8097500,5/18/1939,41500,A
8097500,5/19/1939,22800,A
8097500,5/20/1939,25500,A
8097500,5/21/1939,18000,A
8097500,5/22/1939,11200,A
8097500,5/23/1939,9160,A
8097500,5/24/1939,7200,A
8097500,5/25/1939,5940,A
8097500,5/26/1939,5460,A
8097500,5/27/1939,5460,A
8097500,5/28/1939,3790,A
8097500,5/29/1939,3410,A
8097500,5/30/1939,1890,A
8097500,5/31/1939,1370,A
8097500,6/1/1939,1500,A
8097500,6/2/1939,1440,A
8097500,6/3/1939,4160,A
8097500,6/4/1939,4480,A
8097500,6/5/1939,6420,A
8097500,6/6/1939,13500,A
8097500,6/7/1939,6170,A
8097500,6/8/1939,3410,A
8097500,6/9/1939,2600,A
8097500,6/10/1939,2310,A
8097500,6/11/1939,1630,A
8097500,6/12/1939,1300,A
8097500,6/13/1939,962,A
8097500,6/14/1939,780,A
8097500,6/15/1939,655,A
8097500,6/16/1939,580,A
8097500,6/17/1939,450,A
8097500,6/18/1939,398,A
8097500,6/19/1939,8820,A
8097500,6/20/1939,39300,A
8097500,6/21/1939,20900,A
8097500,6/22/1939,7480,A
8097500,6/23/1939,8790,A
8097500,6/24/1939,19400,A
8097500,6/25/1939,15500,A
8097500,6/26/1939,12300,A
8097500,6/27/1939,10300,A
8097500,6/28/1939,8600,A
8097500,6/29/1939,5700,A
8097500,6/30/1939,4170,A
8097500,7/1/1939,2900,A
8097500,7/2/1939,2170,A
8097500,7/3/1939,2590,A
8097500,7/4/1939,2320,A
8097500,7/5/1939,2030,A
8097500,7/6/1939,2030,A
8097500,7/7/1939,2030,A
8097500,7/8/1939,2030,A
8097500,7/9/1939,1630,A
8097500,7/10/1939,1370,A
8097500,7/11/1939,1120,A
8097500,7/12/1939,870,A
8097500,7/13/1939,735,A
8097500,7/14/1939,510,A
8097500,7/15/1939,480,A
8097500,7/16/1939,424,A
8097500,7/17/1939,398,A
8097500,7/18/1939,375,A
8097500,7/19/1939,333,A
8097500,7/20/1939,314,A
8097500,7/21/1939,280,A
8097500,7/22/1939,280,A
8097500,7/23/1939,249,A
8097500,7/24/1939,235,A
8097500,7/25/1939,221,A
8097500,7/26/1939,216,A
8097500,7/27/1939,210,A
8097500,7/28/1939,180,A
8097500,7/29/1939,167,A
8097500,7/30/1939,162,A
8097500,7/31/1939,157,A
8097500,8/1/1939,164,A
8097500,8/2/1939,150,A
8097500,8/3/1939,164,A
8097500,8/4/1939,154,A
8097500,8/5/1939,164,A
8097500,8/6/1939,235,A
8097500,8/7/1939,210,A
8097500,8/8/1939,205,A
8097500,8/9/1939,170,A
8097500,8/10/1939,154,A
8097500,8/11/1939,140,A
8097500,8/12/1939,120,A
8097500,8/13/1939,194,A
8097500,8/14/1939,186,A
